city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Budapest,47.4925,19.0514,Hungary,HU,Budapest,primary,2997958,1671004
Debrecen,47.5300,21.6392,Hungary,HU,Hajdú-Bihar,admin,328642,201582
Székesfehérvár,47.1956,18.4089,Hungary,HU,Fejér,admin,272474,95915
Pécs,46.0711,18.2331,Hungary,HU,Baranya,admin,251412,141031
Győr,47.6842,17.6344,Hungary,HU,Győr-Moson-Sopron,admin,246159,130020
Szeged,46.2550,20.1450,Hungary,HU,Csongrád-Csanád,admin,239025,158829
Nyíregyháza,47.9531,21.7271,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,238020,115711
Kecskemét,46.9061,19.6897,Hungary,HU,Bács-Kiskun,admin,187835,109731
Szombathely,47.2351,16.6219,Hungary,HU,Vas,admin,147920,78025
Miskolc,48.0833,20.6667,Hungary,HU,Borsod-Abaúj-Zemplén,admin,145248,145248
Veszprém,47.0930,17.9138,Hungary,HU,Veszprém,admin,133880,56777
Kaposvár,46.3638,17.7823,Hungary,HU,Somogy,admin,112253,59270
Gödöllő,47.6000,19.3667,Hungary,HU,Pest,minor,104471,32688
Sopron,47.6849,16.5831,Hungary,HU,Sopron,admin,98479,61784
Érd,47.3784,18.9220,Hungary,HU,Pest,minor,70800,70800
Szolnok,47.1747,20.1965,Hungary,HU,Jász-Nagykun-Szolnok,admin,67126,67126
Tatabánya,47.5862,18.3949,Hungary,HU,Komárom-Esztergom,admin,65874,65874
Zalaegerszeg,46.8392,16.8511,Hungary,HU,Zala,admin,55433,55433
Békéscsaba,46.6790,21.0910,Hungary,HU,Békés,admin,55091,55091
Eger,47.8990,20.3747,Hungary,HU,Heves,admin,50018,50018
Nagykanizsa,46.4550,16.9925,Hungary,HU,Nagykanizsa,admin,43188,43188
Dunakeszi,47.6303,19.1412,Hungary,HU,Pest,minor,43061,43061
Hódmezővásárhely,46.4304,20.3188,Hungary,HU,Hódmezővásárhely,admin,41944,41944
Dunaújváros,46.9806,18.9127,Hungary,HU,Dunaújváros,admin,41873,41873
Szigetszentmiklós,47.3456,19.0483,Hungary,HU,Pest,minor,39954,39954
Cegléd,47.1743,19.8020,Hungary,HU,Pest,minor,36344,36344
Mosonmagyaróvár,47.8737,17.2687,Hungary,HU,Győr-Moson-Sopron,minor,34226,34226
Vác,47.7752,19.1310,Hungary,HU,Pest,minor,34040,34040
Baja,46.1833,18.9536,Hungary,HU,Bács-Kiskun,minor,33142,33142
Salgótarján,48.1040,19.8075,Hungary,HU,Nógrád,admin,31223,31223
Ózd,48.2167,20.3000,Hungary,HU,Borsod-Abaúj-Zemplén,minor,30865,30865
Szekszárd,46.3560,18.7038,Hungary,HU,Tolna,admin,30057,30057
Budaörs,47.4607,18.9580,Hungary,HU,Pest,,29397,29397
Pápa,47.3237,17.4680,Hungary,HU,Veszprém,minor,28789,28789
Esztergom,47.7856,18.7403,Hungary,HU,Komárom-Esztergom,minor,28680,28680
Szentendre,47.7044,19.0686,Hungary,HU,Pest,minor,28494,28494
Gyöngyös,47.7833,19.9333,Hungary,HU,Heves,minor,27887,27887
Ajka,47.1006,17.5522,Hungary,HU,Veszprém,minor,26643,26643
Gyál,47.3861,19.2192,Hungary,HU,Pest,minor,24463,24463
Siófok,46.9239,18.0901,Hungary,HU,Somogy,minor,24390,24390
Kazincbarcika,48.2531,20.6456,Hungary,HU,Borsod-Abaúj-Zemplén,minor,24373,24373
Tata,47.6526,18.3238,Hungary,HU,Komárom-Esztergom,minor,23881,23881
Dunaharaszti,47.3539,19.0948,Hungary,HU,Pest,,23637,23637
Göd,47.6906,19.1344,Hungary,HU,Pest,,21992,21992
Komló,46.1912,18.2613,Hungary,HU,Baranya,minor,21854,21854
Vecsés,47.4057,19.2648,Hungary,HU,Pest,minor,21352,21352
Fót,47.6181,19.1903,Hungary,HU,Pest,,20975,20975
Veresegyház,47.6505,19.2830,Hungary,HU,Pest,,20783,20783
Hatvan,47.6681,19.6697,Hungary,HU,Heves,minor,20480,20480
Gyömrő,47.4250,19.3977,Hungary,HU,Pest,,20216,20216
Komárom,47.7403,18.1244,Hungary,HU,Komárom-Esztergom,minor,19652,19652
Várpalota,47.1989,18.1376,Hungary,HU,Veszprém,minor,19624,19624
Monor,47.3475,19.4489,Hungary,HU,Pest,minor,19020,19020
Pomáz,47.6431,19.0196,Hungary,HU,Pest,,18419,18419
Szigethalom,47.3154,19.0078,Hungary,HU,Pest,,18286,18286
Oroszlány,47.4833,18.3167,Hungary,HU,Komárom-Esztergom,minor,18064,18064
Keszthely,46.7696,17.2481,Hungary,HU,Zala,minor,18031,18031
